related_bill_id,related_bill_title,related_bill_introduction_date,bill_slug,bill_congress
s3678-116,"A bill to amend title 38, United States Code, to provide for payment of work-study allowances during a public health emergency relating to COVID-19 and for allowances to veterans enrolled in educational institutions closed for emergency situations, and for other purposes.",2020-05-11,s3678,116
s3503-116,"A bill to authorize the Secretary of Veterans Affairs to treat certain programs of education converted to distance learning by reason of emergencies and health-related situations in the same manner as programs of education pursued at educational institutions, and for other purposes.",2020-03-16,s3503,116
s3450-116,"A bill to authorize the Secretary of Veterans Affairs to treat certain programs of education converted to distance learning by reason of emergencies and health-related situations in the same manner as programs of education pursued at educational institutions, and for other purposes.",2020-03-11,s3450,116
sres518-116,A resolution honoring the 100th anniversary of Disabled American Veterans.,2020-02-27,sres518,116
s3248-116,"A bill to reauthorize the United States Anti-Doping Agency, and for other purposes.",2020-02-03,s3248,116
s3132-116,"A bill to extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.",2019-12-19,s3132,116
s3084-116,"A bill to amend title 38, United States Code, to modify the limitation on pay for certain high-level employees and officers of the Department of Veterans Affairs.",2019-12-18,s3084,116
sjres61-116,"A joint resolution approving the request of the Secretary of Veterans Affairs for a waiver under section 1703E(f) of title 38, United States Code.",2019-12-12,sjres61,116
s2910-116,"A bill to establish aviation accession training programs for the Commissioned Officer Corps of the National Oceanic and Atmospheric Administration to prepare students for commissioned service as pilots in the Corps, and for other purposes.",2019-11-20,s2910,116
s2858-116,"A bill to require the Administrator of the Federal Motor Carrier Safety Administration to establish an advisory board focused on creating opportunities for women in the trucking industry, and for other purposes.",2019-11-14,s2858,116
s2663-116,"A bill to amend title 49, United States Code, with respect to apportionments to small transit intensive cities, and for other purposes.",2019-10-22,s2663,116
s2584-116,"An original bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2020, and for other purposes.",2019-09-26,s2584,116
s2330-116,"A bill to amend the Ted Stevens Olympic and Amateur Sports Act to provide for congressional oversight of the board of directors of the United States Olympic and Paralympic Committee and to protect amateur athletes from emotional, physical, and sexual abuse, and for other purposes.",2019-07-30,s2330,116
s2246-116,"A bill to amend titles XVIII and XIX of the Social Security Act to provide equal coverage of in vitro specific IgE tests and percutaneous tests for allergies under the Medicare and Medicaid programs, and for other purposes.",2019-07-24,s2246,116
s2022-116,"A bill to amend title 38, United States Code, to provide for improvements to the specially adapted housing program of the Department of Veterans Affairs, and for other purposes.",2019-06-27,s2022,116
s1977-116,"A bill to approve the Kickapoo Tribe Water Rights Settlement Agreement, and for other purposes.",2019-06-26,s1977,116
s1297-116,A bill to amend the Federal Deposit Insurance Act to provide shareholders of certain depository institutions a cause of action for assets seized by an appropriate Federal banking agency.,2019-05-02,s1297,116
s819-116,A bill to modernize the reporting requirement under the Telephone Consumer Protection Act of 1991.,2019-03-14,s819,116
s762-116,"A bill to provide for funding from the Airport and Airway Trust Fund for all Federal Aviation Administration activities in the event of a Government shutdown, and for other purposes.",2019-03-12,s762,116
s633-116,"A bill to award a Congressional Gold Medal to the members of the Women's Army Corps who were assigned to the 6888th Central Postal Directory Battalion, known as the 'Six Triple Eight'.",2019-02-28,s633,116
s576-116,"A bill to amend title 38, United States Code, to provide for a presumption of herbicide exposure for certain veterans who served in Korea, and for other purposes.",2019-02-27,s576,116
s389-116,"A bill to authorize the Society of the First Infantry Division to make modifications to the First Division Monument located on Federal land in Presidential Park in the District of Columbia, and for other purposes.",2019-02-07,s389,116
sres43-116,"A resolution honoring the 150th anniversary of the establishment of Lindsborg, Kansas.",2019-02-05,sres43,116
s328-116,"A bill to jump-start economic recovery through the formation and growth of new businesses, and for other purposes.",2019-02-04,s328,116
s226-116,A bill to clarify the rights of Indians and Indian Tribes on Indian lands under the National Labor Relations Act.,2019-01-24,s226,116
s1346-118,"A bill to authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to implement innovative approaches to securing prompt access to appropriate follow-on care for individuals who experience an acute mental health episode and present for care in an emergency department, and for other purposes.",2023-04-27,s1346,118
s1256-118,"A bill to amend title 49, United States Code, to require certain air carriers to provide reports with respect to maintenance, preventative maintenance, or alterations, and for other purposes.",2023-04-25,s1256,118
s1232-118,"A bill to amend the Internal Revenue Code of 1986 to permanently extend the allowance for depreciation, amortization, or depletion for purposes of determining the income limitation on the deduction for business interest.",2023-04-20,s1232,118
s1189-118,"A bill to establish a pilot grant program to improve recycling accessibility, and for other purposes.",2023-04-19,s1189,118
s1135-118,"A bill to amend title XXVII of the Public Health Service Act, the Employee Retirement Income Security Act of 1974, the Internal Revenue Code of 1986, and the Patient Protection and Affordable Care Act to require coverage of hearing devices and systems in certain private health insurance plans, and for other purposes.",2023-03-30,s1135,118
s1064-118,"A bill to direct the Secretary of Health and Human Services to carry out a national project to prevent and cure Parkinson's, to be known as the National Parkinson's Project, and for other purposes.",2023-03-29,s1064,118
sjres7-118,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to 'Revised Definition of 'Waters of the United States''.",2023-02-02,sjres7,118
s4851-117,"A bill to direct the Secretary of Health and Human Services to carry out a national project to prevent and cure Parkinson's, to be known as the National Parkinson's Project, and for other purposes.",2022-09-14,s4851,117
s4815-117,"A bill to clarify regulatory certainty, and for other purposes.",2022-09-12,s4815,117
s3998-117,"A bill to clarify the inability of the President to declare national emergencies under the National Emergencies Act, major disasters or emergencies under the Robert T. Stafford Disaster Relief and Emergency Assistance Act, and public health emergencies under the Public Health Service Act on the premise of climate change, and for other purposes.",2022-04-05,s3998,117
s3791-117,"A bill to amend titles XVIII and XIX of the Social Security Act to provide for coverage of prescription digital therapeutics under such titles, and for other purposes.",2022-03-10,s3791,117
s3742-117,"A bill to establish a pilot grant program to improve recycling accessibility, and for other purposes.",2022-03-03,s3742,117
s3456-117,"A bill to enact the definition of 'waters of the United States' into law, and for other purposes.",2022-01-10,s3456,117
s3277-117,"A bill to enact the Section 401 Certification Rule, and for other purposes.",2021-11-30,s3277,117
s2567-117,"A bill to enact the definition of 'waters of the United States' into law, and for other purposes.",2021-07-29,s2567,117
s2373-117,"A bill to reestablish United States global leadership in nuclear energy, revitalize domestic nuclear energy supply chain infrastructure, support the licensing of advanced nuclear technologies, and improve the regulation of nuclear energy, and for other purposes.",2021-07-15,s2373,117
