related_bill_id,related_bill_title,related_bill_introduction_date,bill_slug,bill_congress
s2157-117,"A bill to authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to implement innovative approaches to securing prompt access to appropriate follow-on care for individuals who experience an acute mental health episode and present for care in an emergency department, and for other purposes.",2021-06-22,s2157,117
s1986-117,"A bill to amend title XVIII of the Social Security Act and the Bipartisan Budget Act of 2018 to expand and expedite access to cardiac rehabilitation programs and pulmonary rehabilitation programs under the Medicare program, and for other purposes.",2021-06-09,s1986,117
s1999-117,"A bill to amend title 23, United States Code, to authorize the use of certain Federal funds for multiple substance impaired driving countermeasures, and for other purposes.",2021-06-09,s1999,117
s1692-117,"A bill to provide better care and outcomes for Americans living with Alzheimer's disease and related to dementias and their caregivers, while accelerating progress toward prevention strategies, disease modifying treatments, and, ultimately, a cure.",2021-05-19,s1692,117
s1695-117,A bill to amend the Public Works and Economic Development Act of 1965 to provide for a high-speed broadband deployment initiative.,2021-05-19,s1695,117
s586-117,A bill to amend title XVIII of the Social Security Act to combat the opioid crisis by promoting access to non-opioid treatments in the hospital outpatient setting.,2021-03-04,s586,117
s539-117,A bill to direct the Secretary of Veterans Affairs to submit to Congress a report on the use of video cameras for patient safety and law enforcement at medical centers of the Department of Veterans Affairs.,2021-03-02,s539,117
s360-117,"A bill to amend title 51, United States Code, to modify the national space grant college and fellowship program, and for other purposes.",2021-02-23,s360,117
s41-117,"A bill to amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, the Internal Revenue Code of 1986, and the Patient Protection and Affordable Care Act to require coverage of hearing devices and systems in certain private health insurance plans, and for other purposes.",2021-01-25,s41,117
s4532-116,"A bill to amend title XXVII of the Public Health Service Act and the Patient Protection and Affordable Care Act to require coverage of hearing devices and systems in certain private health insurance plans, and for other purposes.",2020-09-08,s4532,116
s4075-116,"A bill to amend the Public Works and Economic Development Act of 1965 to provide for the release of certain Federal interests in connection with certain grants under that Act, and for other purposes.",2020-06-25,s4075,116
s3648-116,A bill to amend the Public Works and Economic Development Act of 1965 to provide for a high-speed broadband deployment initiative.,2020-05-07,s3648,116
sres543-116,"A resolution recognizing Girl Scouts of the United States of America on its 108th birthday and celebrating its legacy of creating leaders in Gold Award Girl Scouts, including the 2019 National Gold Award Girl Scouts.",2020-03-12,sres543,116
s3067-116,A bill to amend title XVIII of the Social Security Act to combat the opioid crisis by promoting access to non-opioid treatments in the hospital outpatient setting.,2019-12-17,s3067,116
s2842-116,"A bill to amend title XVIII of the Social Security Act and the Bipartisan Budget Act of 2018 to expand and expedite access to cardiac rehabilitation programs and pulmonary rehabilitation programs under the Medicare program, and for other purposes.",2019-11-13,s2842,116
s2831-116,"A bill to amend title 51, United States Code, to modify the national space grant college and fellowship program, and for other purposes.",2019-11-12,s2831,116
